Pallet no;Exporter Name;Shipping line;Vessel Name;Port of departure;Port of arrival;Packing house departure date;ETA;Exporter Ref;Seal No;Container No;Species;Variety;Size_caliber_count;Nb of fruits per box;Class;Brand;Country of origin;Packaging;Packaging type;Box tare (kg);Net weight per box (kg);Net weight per pallet (kg);Cartons per pallet;Nb of pallets;Lot no;Date of packaging;PACKING HOUSE/PRODUCER;Producer;ETD;Temperature recorder no;Date of harvesting;Plot;Certifications;GGN;COC;Certified GG/COC;Forwarder at destination
060099053408483539;Ingophase FRUIT;;SANTA CLARA;DURBAN;NLRTM;;;GEORGE2;;;SC;ORM;1XX;68;2;CIRGR;ZA;;D10D;0.7;10.75;1204.16;112.0;1.00;;;INGOPH;;;;;;GG/SMETA;;;;COOL CONTROL
060099053408483638;Ingophase FRUIT;;SANTA CLARA;DURBAN;NLRTM;;;GEORGE2;;;SC;ORM;1XX;68;1;CIRBU;ZA;;D10D;0.7;10.57;1184.16;112.0;1.00;;;INGOPH;;;;;;GG/SMETA;;;;COOL CONTROL
060099053408483645;Ingophase FRUIT;;SANTA CLARA;DURBAN;NLRTM;;;GEORGE2;;;SC;ORM;1X;75;2;CIRGR;ZA;;D10D;0.7;10.42;1167.16;112.0;1.00;;;INGOPH;;;;;;GG/SMETA;;;;COOL CONTROL
060099053408483737;Ingophase FRUIT;;SANTA CLARA;DURBAN;NLRTM;;;GEORGE2;;;SC;ORM;1XX;68;1;CIRBU;ZA;;D10D;0.7;10.5;1176.16;112.0;1.00;;;INGOPH;;;;;;GG/SMETA;;;;COOL CONTROL
060099053408483768;Ingophase FRUIT;;SANTA CLARA;DURBAN;NLRTM;;;GEORGE2;;;SC;ORM;1XX;68;1;CIRBU;ZA;;D10D;0.7;10.5;1176.16;112.0;1.00;;;INGOPH;;;;;;GG/SMETA;;;;COOL CONTROL
060099053408483775;Ingophase FRUIT;;SANTA CLARA;DURBAN;NLRTM;;;GEORGE2;;;SC;ORM;1;94;1;CIRBU;ZA;;D10D;0.7;11.05;1237.16;112.0;1.00;;;INGOPH;;;;;;GG/SMETA;;;;COOL CONTROL
060099053408483850;Ingophase FRUIT;;SANTA CLARA;DURBAN;NLRTM;;;GEORGE2;;;SC;ORM;1XX;68;1;CIRBU;ZA;;D10D;0.7;10.45;1170.16;112.0;1.00;;;INGOPH;;;;;;GG/SMETA;;;;COOL CONTROL
060099053408484406;Ingophase FRUIT;;SANTA CLARA;DURBAN;NLRTM;;;GEORGE2;;;SC;ORM;1X;75;1;CIRBU;ZA;;D10D;0.7;10.08;1129.16;112.0;1.00;;;INGOPH;;;;;;GG/SMETA;;;;COOL CONTROL
060099053408484420;Ingophase FRUIT;;SANTA CLARA;DURBAN;NLRTM;;;GEORGE2;;;SC;ORM;1;94;1;CIRBU;ZA;;D10D;0.7;10.89;1220.16;112.0;1.00;;;INGOPH;;;;;;GG/SMETA;;;;COOL CONTROL
060099053408484482;Ingophase FRUIT;;SANTA CLARA;DURBAN;NLRTM;;;GEORGE2;;;SC;ORM;1X;75;1;CIRBU;ZA;;D10D;0.7;10.07;1128.16;112.0;1.00;;;INGOPH;;;;;;GG/SMETA;;;;COOL CONTROL
