Pallet no;Exporter Name;Shipping line;Vessel Name;Port of departure;Port of arrival;Packing house departure date;ETA;Exporter Ref;Seal No;Container No;Species;Variety;Size_caliber_count;Nb of fruits per box;Class;Brand;Country of origin;Packaging;Packaging type;Box tare (kg);Net weight per box (kg);Net weight per pallet (kg);Cartons per pallet;Nb of pallets;Lot no;Date of packaging;PACKING HOUSE/PRODUCER;Producer;ETD;Temperature recorder no;Date of harvesting;Plot;Certifications;GGN;COC;Certified GG/COC;Forwarder at destination
00110000000001777570;PROCESADORA LARAN;CMA CGM;ISTANBUL EXPRESS ( 0WCL0N1MA);CALLAO;MARSELLA;15/06/2025;17/07/2025;2025-P000000249;;CGMU7004103;AVOCADO;Hass;24;24;CAT-2;LA CALERA;PE;HAS C2 CAJA CALERA 4KG C24;CAJA DE 4KG ;0.3977272727272727;4.00;328.0;264;0.31061;;06/06/2025;PROCESADORA LARAN;AGROINDUSTRIA CASABLANCA SAC;17/06/2025;;02/06/2025;VIÑA VIEJA-PALTO;;4049929054356;4059883972870;SGS-ARG 15 0414 ;COOL CONTROL
00110000000001777570;PROCESADORA LARAN;CMA CGM;ISTANBUL EXPRESS ( 0WCL0N1MA);CALLAO;MARSELLA;15/06/2025;17/07/2025;2025-P000000249;;CGMU7004103;AVOCADO;Hass;26;26;CAT-2;LA CALERA;PE;HAS C2 CAJA CALERA 4KG C26;CAJA DE 4KG ;0.3977272727272725;4.00;728.0;264;0.68939;;25/05/2025;PROCESADORA LARAN;LA PORTADA S.A.C;17/06/2025;;21/05/2025;LA GUARDA;;4049928383600;4059883972870;SGS-ARG 15 0414 ;COOL CONTROL
00110000000001832330;PROCESADORA LARAN;CMA CGM;ISTANBUL EXPRESS ( 0WCL0N1MA);CALLAO;MARSELLA;15/06/2025;17/07/2025;2025-P000000249;;CGMU7004103;AVOCADO;Hass;16;16;CAT-2;LA CALERA;PE;HAS C2 CAJA CALERA 4KG C16;CAJA DE 4KG ;0.3977272727272725;4.00;1056.0;264;1.0;;05/06/2025;PROCESADORA LARAN;LA PORTADA S.A.C;17/06/2025;;01/06/2025;LA GUARDA;;4049928383600;4059883972870;SGS-ARG 15 0414 ;COOL CONTROL
00110000000001832347;PROCESADORA LARAN;CMA CGM;ISTANBUL EXPRESS ( 0WCL0N1MA);CALLAO;MARSELLA;15/06/2025;17/07/2025;2025-P000000249;;CGMU7004103;AVOCADO;Hass;18;18;CAT-2;LA CALERA;PE;HAS C2 CAJA CALERA 4KG C18;CAJA DE 4KG ;0.3977272727272725;4.00;1056.0;264;1.0;;05/06/2025;PROCESADORA LARAN;AGROINDUSTRIA CASABLANCA SAC;17/06/2025;;01/06/2025;VIÑA VIEJA-PALTO;;4049929054356;4059883972870;SGS-ARG 15 0414 ;COOL CONTROL
00110000000001833245;PROCESADORA LARAN;CMA CGM;ISTANBUL EXPRESS ( 0WCL0N1MA);CALLAO;MARSELLA;15/06/2025;17/07/2025;2025-P000000249;;CGMU7004103;AVOCADO;Hass;22;22;CAT-2;LA CALERA;PE;HAS C2 CAJA CALERA 4KG C22;CAJA DE 4KG ;0.39772727272727265;4.00;1056.0;264;1.0;;05/06/2025;PROCESADORA LARAN;AGROINDUSTRIA CASABLANCA SAC;17/06/2025;;01/06/2025;LA CALERA-PALTO;;4049929054356;4059883972870;SGS-ARG 15 0414 ;COOL CONTROL
00110000000001841738;PROCESADORA LARAN;CMA CGM;ISTANBUL EXPRESS ( 0WCL0N1MA);CALLAO;MARSELLA;15/06/2025;17/07/2025;2025-P000000249;;CGMU7004103;AVOCADO;Hass;12;12;CAT-2;LA CALERA;PE;HAS C2 CAJA CALERA 4KG C12;CAJA DE 4KG ;0.3977272727272725;4.00;1056.0;264;1.0;;06/06/2025;PROCESADORA LARAN;AGROINDUSTRIA CASABLANCA SAC;17/06/2025;;02/06/2025;CONTA PALTO;;4049929054356;4059883972870;SGS-ARG 15 0414 ;COOL CONTROL
00110000000001841745;PROCESADORA LARAN;CMA CGM;ISTANBUL EXPRESS ( 0WCL0N1MA);CALLAO;MARSELLA;15/06/2025;17/07/2025;2025-P000000249;;CGMU7004103;AVOCADO;Hass;14;14;CAT-2;LA CALERA;PE;HAS C2 CAJA CALERA 4KG C14;CAJA DE 4KG ;0.3977272727272725;4.00;1056.0;264;1.0;;06/06/2025;PROCESADORA LARAN;AGROINDUSTRIA CASABLANCA SAC;17/06/2025;;02/06/2025;CONTA PALTO;;4049929054356;4059883972870;SGS-ARG 15 0414 ;COOL CONTROL
00110000000001841752;PROCESADORA LARAN;CMA CGM;ISTANBUL EXPRESS ( 0WCL0N1MA);CALLAO;MARSELLA;15/06/2025;17/07/2025;2025-P000000249;;CGMU7004103;AVOCADO;Hass;16;16;CAT-2;LA CALERA;PE;HAS C2 CAJA CALERA 4KG C16;CAJA DE 4KG ;0.39772727272727254;4.00;1056.0;264;1.0;;06/06/2025;PROCESADORA LARAN;AGROINDUSTRIA CASABLANCA SAC;17/06/2025;;02/06/2025;CONTA PALTO;;4049929054356;4059883972870;SGS-ARG 15 0414 ;COOL CONTROL
00110000000001841776;PROCESADORA LARAN;CMA CGM;ISTANBUL EXPRESS ( 0WCL0N1MA);CALLAO;MARSELLA;15/06/2025;17/07/2025;2025-P000000249;;CGMU7004103;AVOCADO;Hass;24;24;CAT-2;LA CALERA;PE;HAS C2 CAJA CALERA 4KG C24;CAJA DE 4KG ;0.3977272727272725;4.00;1056.0;264;1.0;;06/06/2025;PROCESADORA LARAN;LA PORTADA S.A.C;17/06/2025;;02/06/2025;LA GUARDA;;4049928383600;4059883972870;SGS-ARG 15 0414 ;COOL CONTROL
00110000000001841967;PROCESADORA LARAN;CMA CGM;ISTANBUL EXPRESS ( 0WCL0N1MA);CALLAO;MARSELLA;15/06/2025;17/07/2025;2025-P000000249;;CGMU7004103;AVOCADO;Hass;18;18;CAT-2;LA CALERA;PE;HAS C2 CAJA CALERA 4KG C18;CAJA DE 4KG ;0.3977272727272727;4.00;1056.0;264;1.0;;06/06/2025;PROCESADORA LARAN;AGROINDUSTRIA CASABLANCA SAC;17/06/2025;;02/06/2025;VIÑA VIEJA-PALTO;;4049929054356;4059883972870;SGS-ARG 15 0414 ;COOL CONTROL
