Pallet no;Exporter Name;Shipping line;Vessel Name;Port of departure;Port of arrival;Packing house departure date;ETA;Exporter Ref;Seal No;Container No;Species;Variety;Size_caliber_count;Nb of fruits per box;Class;Brand;Country of origin;Packaging;Packaging type;Box tare (kg);Net weight per box (kg);Net weight per pallet (kg);Cartons per pallet;Nb of pallets;Lot no;Date of packaging;PACKING HOUSE/PRODUCER;Producer;ETD;Temperature recorder no;Date of harvesting;Plot;Certifications;GGN;COC;Certified GG/COC;Forwarder at destination
52331;Mountain Avocado S.A.S;Hapag Lloyd;VALPARAISO EXPRESS;Cartagena;Rotterdam;15/08/2025;02/09/2025;EXP6715;62217;HLBU6047340;Aguacate Hass;Hass;14;35;1;Aguacate;ZA;Box;10;0.33;10;360.0;120.0;1.0;;08/12/2025;Mountain Avocado S.A.S;Villa Claudia;20/08/2025;5;;Urrao;;4063651976700;;;COOL CONTROL
52332;Mountain Avocado S.A.S;Hapag Lloyd;VALPARAISO EXPRESS;Cartagena;Rotterdam;15/08/2025;02/09/2025;EXP6715;62217;HLBU6047340;Aguacate Hass;Hass;16;40;1;Aguacate;ZA;Box;10;0.33;10;120.0;120.0;1.0;;08/12/2025;Mountain Avocado S.A.S;Villa Claudia;20/08/2025;5;;Urrao;;4063651976700;;;COOL CONTROL
52333;Mountain Avocado S.A.S;Hapag Lloyd;VALPARAISO EXPRESS;Cartagena;Rotterdam;15/08/2025;02/09/2025;EXP6715;62217;HLBU6047340;Aguacate Hass;Hass;16;40;1;Aguacate;ZA;Box;10;0.33;10;240.0;120.0;1.0;;08/12/2025;Mountain Avocado S.A.S;Villa Claudia;20/08/2025;5;;Urrao;;4063651976700;;;COOL CONTROL
52334;Mountain Avocado S.A.S;Hapag Lloyd;VALPARAISO EXPRESS;Cartagena;Rotterdam;15/08/2025;02/09/2025;EXP6715;62217;HLBU6047340;Aguacate Hass;Hass;18;45;1;Aguacate;ZA;Box;10;0.33;10;120.0;120.0;1.0;;08/12/2025;Mountain Avocado S.A.S;Villa Claudia;20/08/2025;5;;Urrao;;4063651976700;;;COOL CONTROL
52335;Mountain Avocado S.A.S;Hapag Lloyd;VALPARAISO EXPRESS;Cartagena;Rotterdam;15/08/2025;02/09/2025;EXP6715;62217;HLBU6047340;Aguacate Hass;Hass;18;45;1;Aguacate;ZA;Box;10;0.33;10;120.0;120.0;1.0;;08/12/2025;Mountain Avocado S.A.S;Villa Claudia;20/08/2025;5;;Urrao;;4063651976700;;;COOL CONTROL
52336;Mountain Avocado S.A.S;Hapag Lloyd;VALPARAISO EXPRESS;Cartagena;Rotterdam;15/08/2025;02/09/2025;EXP6715;62217;HLBU6047340;Aguacate Hass;Hass;18;45;1;Aguacate;ZA;Box;10;0.33;10;240.0;120.0;1.0;;08/12/2025;Mountain Avocado S.A.S;Villa Claudia;20/08/2025;5;;Urrao;;4063651976700;;;COOL CONTROL
52337;Mountain Avocado S.A.S;Hapag Lloyd;VALPARAISO EXPRESS;Cartagena;Rotterdam;15/08/2025;02/09/2025;EXP6715;62217;HLBU6047340;Aguacate Hass;Hass;20;50;1;Aguacate;ZA;Box;10;0.33;10;120.0;120.0;1.0;;08/12/2025;Mountain Avocado S.A.S;Villa Claudia;20/08/2025;5;;Urrao;;4063651976700;;;COOL CONTROL
52338;Mountain Avocado S.A.S;Hapag Lloyd;VALPARAISO EXPRESS;Cartagena;Rotterdam;15/08/2025;02/09/2025;EXP6715;62217;HLBU6047340;Aguacate Hass;Hass;20;50;1;Aguacate;ZA;Box;10;0.33;10;120.0;120.0;1.0;;08/12/2025;Mountain Avocado S.A.S;Villa Claudia;20/08/2025;5;;Urrao;;4063651976700;;;COOL CONTROL
52339;Mountain Avocado S.A.S;Hapag Lloyd;VALPARAISO EXPRESS;Cartagena;Rotterdam;15/08/2025;02/09/2025;EXP6715;62217;HLBU6047340;Aguacate Hass;Hass;20;50;1;Aguacate;ZA;Box;10;0.33;10;240.0;120.0;1.0;;08/12/2025;Mountain Avocado S.A.S;Villa Claudia;20/08/2025;5;;Urrao;;4063651976700;;;COOL CONTROL
52340;Mountain Avocado S.A.S;Hapag Lloyd;VALPARAISO EXPRESS;Cartagena;Rotterdam;15/08/2025;02/09/2025;EXP6715;62217;HLBU6047340;Aguacate Hass;Hass;22;55;1;Aguacate;ZA;Box;10;0.33;10;120.0;120.0;1.0;;08/12/2025;Mountain Avocado S.A.S;Villa Claudia;20/08/2025;5;;Urrao;;4063651976700;;;COOL CONTROL
52341;Mountain Avocado S.A.S;Hapag Lloyd;VALPARAISO EXPRESS;Cartagena;Rotterdam;15/08/2025;02/09/2025;EXP6715;62217;HLBU6047340;Aguacate Hass;Hass;22;55;1;Aguacate;ZA;Box;10;0.33;10;120.0;120.0;1.0;;08/12/2025;Mountain Avocado S.A.S;Villa Claudia;20/08/2025;5;;Urrao;;4063651976700;;;COOL CONTROL
52342;Mountain Avocado S.A.S;Hapag Lloyd;VALPARAISO EXPRESS;Cartagena;Rotterdam;15/08/2025;02/09/2025;EXP6715;62217;HLBU6047340;Aguacate Hass;Hass;22;55;1;Aguacate;ZA;Box;10;0.33;10;240.0;120.0;1.0;;08/12/2025;Mountain Avocado S.A.S;Villa Claudia;20/08/2025;5;;Urrao;;4063651976700;;;COOL CONTROL
52343;Mountain Avocado S.A.S;Hapag Lloyd;VALPARAISO EXPRESS;Cartagena;Rotterdam;15/08/2025;02/09/2025;EXP6715;62217;HLBU6047340;Aguacate Hass;Hass;24;60;1;Aguacate;ZA;Box;10;0.33;10;240.0;120.0;1.0;;08/12/2025;Mountain Avocado S.A.S;Villa Claudia;20/08/2025;5;;Urrao;;4063651976700;;;COOL CONTROL
52344;Mountain Avocado S.A.S;Hapag Lloyd;VALPARAISO EXPRESS;Cartagena;Rotterdam;15/08/2025;02/09/2025;EXP6715;62217;HLBU6047340;Aguacate Hass;Hass;26;65;1;Aguacate;ZA;Box;10;0.33;10;360.0;120.0;1.0;;08/12/2025;Mountain Avocado S.A.S;Villa Claudia;20/08/2025;5;;Urrao;;4063651976700;;;COOL CONTROL
52345;Mountain Avocado S.A.S;Hapag Lloyd;VALPARAISO EXPRESS;Cartagena;Rotterdam;15/08/2025;02/09/2025;EXP6715;62217;HLBU6047340;Aguacate Hass;Hass;28;70;1;Aguacate;ZA;Box;10;0.33;10;480.0;120.0;1.0;;08/12/2025;Mountain Avocado S.A.S;Villa Claudia;20/08/2025;5;;Urrao;;4063651976700;;;COOL CONTROL
52398;Mountain Avocado S.A.S;Hapag Lloyd;VALPARAISO EXPRESS;Cartagena;Rotterdam;15/08/2025;02/09/2025;EXP6715;62229;HLBU6047340;Aguacate Hass;Hass;16;40;1;Aguacate;ZA;Box;10;0.33;10;240.0;120.0;1.0;;13/08/2025;Mountain Avocado S.A.S;Villa Claudia;20/08/2025;5;;Urrao;;4063651976700;;;COOL CONTROL
52399;Mountain Avocado S.A.S;Hapag Lloyd;VALPARAISO EXPRESS;Cartagena;Rotterdam;15/08/2025;02/09/2025;EXP6715;62229;HLBU6047340;Aguacate Hass;Hass;18;45;1;Aguacate;ZA;Box;10;0.33;10;120.0;120.0;1.0;;13/08/2025;Mountain Avocado S.A.S;Villa Claudia;20/08/2025;5;;Urrao;;4063651976700;;;COOL CONTROL
52401;Mountain Avocado S.A.S;Hapag Lloyd;VALPARAISO EXPRESS;Cartagena;Rotterdam;15/08/2025;02/09/2025;EXP6715;62229;HLBU6047340;Aguacate Hass;Hass;20;50;1;Aguacate;ZA;Box;10;0.33;10;120.0;120.0;1.0;;13/08/2025;Mountain Avocado S.A.S;Villa Claudia;20/08/2025;5;;Urrao;;4063651976700;;;COOL CONTROL
52403;Mountain Avocado S.A.S;Hapag Lloyd;VALPARAISO EXPRESS;Cartagena;Rotterdam;15/08/2025;02/09/2025;EXP6715;62229;HLBU6047340;Aguacate Hass;Hass;22;55;1;Aguacate;ZA;Box;10;0.33;10;120.0;120.0;1.0;;13/08/2025;Mountain Avocado S.A.S;Villa Claudia;20/08/2025;5;;Urrao;;4063651976700;;;COOL CONTROL
52404;Mountain Avocado S.A.S;Hapag Lloyd;VALPARAISO EXPRESS;Cartagena;Rotterdam;15/08/2025;02/09/2025;EXP6715;62229;HLBU6047340;Aguacate Hass;Hass;24;60;1;Aguacate;ZA;Box;10;0.33;10;240.0;120.0;1.0;;13/08/2025;Mountain Avocado S.A.S;Villa Claudia;20/08/2025;5;;Urrao;;4063651976700;;;COOL CONTROL
