Pallet no;Exporter Name;Shipping line;Vessel Name;Port of departure;Port of arrival;Packing house departure date;ETA;Exporter Ref;Seal No;Container No;Species;Variety;Size_caliber_count;Nb of fruits per box;Class;Brand;Country of origin;Packaging;Packaging type;Box tare (kg);Net weight per box (kg);Net weight per pallet (kg);Cartons per pallet;Nb of pallets;Lot no;Date of packaging;PACKING HOUSE/PRODUCER;Producer;ETD;Temperature recorder no;Date of harvesting;Plot;Certifications;GGN;COC;Certified GG/COC;Forwarder at destination
60099006225807101;SAFPRO;Maersk;Horizon;ZAPLZ;NLRTM;11/06/2025;15/07/2025;GHS25042;ZA6501154;MNBU4019311;OR;Navelate;45;;1;TUR;ZA;Carton;LARGE DISPLAY CARTON;Not Available;16.4;1066.0;65.0;1.0;;03/06/2025;L6014;L0502;14/06/2025;PDEEZ01V80;03/06/2025;401;GGN, SIZA;4050373012250.0;6001651072006;GLOBALGAP certified and COC certified;COOL CONTROL
60099006225811238;SAFPRO;Maersk;Horizon;ZAPLZ;NLRTM;11/06/2025;15/07/2025;GHS25042;ZA6501154;MNBU4019311;OR;Navelate;45;;1;TUR;ZA;Carton;LARGE DISPLAY CARTON;Not Available;16.4;1066.0;65.0;1.0;;04/06/2025;L6014;L0072;14/06/2025;;04/06/2025;207;GGN, SIZA;4049929725270.0;6001651072006;GLOBALGAP certified and COC certified;COOL CONTROL
60099006225811382;SAFPRO;Maersk;Horizon;ZAPLZ;NLRTM;11/06/2025;15/07/2025;GHS25042;ZA6501154;MNBU4019311;OR;Navelate;40;;1;TUR;ZA;Carton;LARGE DISPLAY CARTON;Not Available;16.4;1066.0;65.0;1.0;;03/06/2025;L6014;L0072;14/06/2025;;03/06/2025;207;GGN, SIZA;4049929725270.0;6001651072006;GLOBALGAP certified and COC certified;COOL CONTROL
60099006225811832;SAFPRO;Maersk;Horizon;ZAPLZ;NLRTM;11/06/2025;15/07/2025;GHS25042;ZA6501154;MNBU4019311;OR;Navelate;45;;1;TUR;ZA;Carton;LARGE DISPLAY CARTON;Not Available;16.4;1066.0;65.0;1.0;;03/06/2025;L6014;L0072;14/06/2025;;03/06/2025;219;GGN, SIZA;4049929725270.0;6001651072006;GLOBALGAP certified and COC certified;COOL CONTROL
60099006225815670;SAFPRO;Maersk;Horizon;ZAPLZ;NLRTM;11/06/2025;15/07/2025;GHS25042;ZA6501154;MNBU4019311;OR;Navelate;45;;1;TUR;ZA;Carton;LARGE DISPLAY CARTON;Not Available;16.4;1066.0;65.0;1.0;;03/06/2025;L6014;L0502;14/06/2025;;03/06/2025;424;GGN, SIZA;4050373012250.0;6001651072006;GLOBALGAP certified and COC certified;COOL CONTROL
60099006225817568;SAFPRO;Maersk;Horizon;ZAPLZ;NLRTM;11/06/2025;15/07/2025;GHS25042;ZA6501154;MNBU4019311;OR;Navelate;40;;1;TUR;ZA;Carton;LARGE DISPLAY CARTON;Not Available;16.4;1066.0;65.0;1.0;;05/06/2025;L6014;L1010;14/06/2025;;05/06/2025;332;GGN, SIZA;4050373012250.0;6001651072006;GLOBALGAP certified and COC certified;COOL CONTROL
60099006225819654;SAFPRO;Maersk;Horizon;ZAPLZ;NLRTM;11/06/2025;15/07/2025;GHS25042;ZA6501154;MNBU4019311;OR;Navelate;45;;1;TUR;ZA;Carton;LARGE DISPLAY CARTON;Not Available;16.4;1066.0;65.0;1.0;;05/06/2025;L6014;L7772;14/06/2025;;05/06/2025;67;GGN, SIZA;4049929725270.0;6001651072006;GLOBALGAP certified and COC certified;COOL CONTROL
360098805260375963;SAFPRO;Maersk;Horizon;ZAPLZ;NLRTM;11/06/2025;15/07/2025;GHS25042;ZA6501154;MNBU4019311;OR;Navels;45;;1;SAFPR;ZA;Carton;LARGE DISPLAY CARTON;Not Available;16.4;1065.9999999999998;65.0;1.0;;04/06/2025;LN0018;LN0112;14/06/2025;;04/06/2025;G7;GGN, SIZA;4050373049720.0;6001651072006;GLOBALGAP certified and COC certified;COOL CONTROL
360098805260377035;SAFPRO;Maersk;Horizon;ZAPLZ;NLRTM;11/06/2025;15/07/2025;GHS25042;ZA6501154;MNBU4019311;OR;Navels;40;;1;SAFPR;ZA;Carton;LARGE DISPLAY CARTON;Not Available;16.4;82.0;5.0;0.076923;;05/06/2025;LN0018;LN0112;14/06/2025;;05/06/2025;G5;GGN, SIZA;4050373049720.0;6001651072006;GLOBALGAP certified and COC certified;COOL CONTROL
360098805260377035;SAFPRO;Maersk;Horizon;ZAPLZ;NLRTM;11/06/2025;15/07/2025;GHS25042;ZA6501154;MNBU4019311;OR;Navels;45;;1;SAFPR;ZA;Carton;LARGE DISPLAY CARTON;Not Available;16.4;983.9999999999999;60.0;0.923077;;05/06/2025;LN0018;LN0112;14/06/2025;;05/06/2025;G5;GGN, SIZA;4050373049720.0;6001651072006;GLOBALGAP certified and COC certified;COOL CONTROL
760091600117934899;SAFPRO;Maersk;Horizon;ZAPLZ;NLRTM;11/06/2025;15/07/2025;GHS25042;ZA6501154;MNBU4019311;OR;Navelate;45;;1;SAFPR;ZA;Carton;LARGE DISPLAY CARTON;Not Available;16.4;1066.0;65.0;1.0;;06/06/2025;L6009;L7228;14/06/2025;;06/06/2025;53;GGN, SIZA;4050373750015.0;6001651072006;GLOBALGAP certified and COC certified;COOL CONTROL
760091600117934912;SAFPRO;Maersk;Horizon;ZAPLZ;NLRTM;11/06/2025;15/07/2025;GHS25042;ZA6501154;MNBU4019311;OR;Navelate;40;;1;SAFPR;ZA;Carton;LARGE DISPLAY CARTON;Not Available;16.4;1066.0;65.0;1.0;;06/06/2025;L6009;L7247;14/06/2025;;06/06/2025;87;GGN, SIZA;;6001651072006;GLOBALGAP certified and COC certified;COOL CONTROL
760091600117935452;SAFPRO;Maersk;Horizon;ZAPLZ;NLRTM;11/06/2025;15/07/2025;GHS25042;ZA6501154;MNBU4019311;OR;Navelate;45;;1;SAFPR;ZA;Carton;LARGE DISPLAY CARTON;Not Available;16.4;1066.0;65.0;1.0;;06/06/2025;L6009;N0890;14/06/2025;;06/06/2025;9;GGN, SIZA;4050373750015.0;6001651072006;GLOBALGAP certified and COC certified;COOL CONTROL
760091600117935469;SAFPRO;Maersk;Horizon;ZAPLZ;NLRTM;11/06/2025;15/07/2025;GHS25042;ZA6501154;MNBU4019311;OR;Navelate;40;;1;SAFPR;ZA;Carton;LARGE DISPLAY CARTON;Not Available;16.4;1066.0;65.0;1.0;;06/06/2025;L6009;N0890;14/06/2025;;06/06/2025;9;GGN, SIZA;4050373750015.0;6001651072006;GLOBALGAP certified and COC certified;COOL CONTROL
760091600117935483;SAFPRO;Maersk;Horizon;ZAPLZ;NLRTM;11/06/2025;15/07/2025;GHS25042;ZA6501154;MNBU4019311;OR;Navelate;45;;1;SAFPR;ZA;Carton;LARGE DISPLAY CARTON;Not Available;16.4;1066.0;65.0;1.0;;06/06/2025;L6009;N0890;14/06/2025;;06/06/2025;9;GGN, SIZA;4050373750015.0;6001651072006;GLOBALGAP certified and COC certified;COOL CONTROL
