Pallet no;Exporter Name;Shipping line;Vessel Name;Port of departure;Port of arrival;Packing house departure date;ETA;Exporter Ref;Seal No;Container No;Species;Variety;Size_caliber_count;Nb of fruits per box;Class;Brand;Country of origin;Packaging;Packaging type;Box tare (kg);Net weight per box (kg);Net weight per pallet (kg);Cartons per pallet;Nb of pallets;Lot no;Date of packaging;PACKING HOUSE/PRODUCER;Producer;ETD;Temperature recorder no;Date of harvesting;Plot;Certifications;GGN;COC;Certified GG/COC;Forwarder at destination
90825181;SHALIMAR;;MSC: CAIRO PYRAMID;MOMBASA;FOS;;19/09/2025;MEDU9747767;EU-28666052;MEDU9747767;AVOCADOS;HASS;22;22;;SHALIMAR;ZA;;COLIS 4KG;0.32;4.3;1104.0;276.0;1.0;;;;;15/08/2025;;;;GG/SMETA;GGN/GLN 4049928372543;;;COOL CONTROL
90825182;SHALIMAR;;MSC: CAIRO PYRAMID;MOMBASA;FOS;;19/09/2025;MEDU9747767;EU-28666052;MEDU9747767;AVOCADOS;HASS;22;22;;SHALIMAR;ZA;;COLIS 4KG;0.32;4.3;1104.0;276.0;1.0;;;;;15/08/2025;;;;GG/SMETA;GGN/GLN 4049928372543;;;COOL CONTROL
90825183;SHALIMAR;;MSC: CAIRO PYRAMID;MOMBASA;FOS;;19/09/2025;MEDU9747767;EU-28666052;MEDU9747767;AVOCADOS;HASS;14;14;;SHALIMAR;ZA;;COLIS 4KG;0.32;4.3;1104.0;276.0;1.0;;;;;15/08/2025;;;;GG/SMETA;GGN/GLN 4049928372543;;;COOL CONTROL
90825184;SHALIMAR;;MSC: CAIRO PYRAMID;MOMBASA;FOS;;19/09/2025;MEDU9747767;EU-28666052;MEDU9747767;AVOCADOS;HASS;24;24;;SHALIMAR;ZA;;COLIS 4KG;0.32;4.3;1104.0;276.0;1.0;;;;;15/08/2025;;;;GG/SMETA;GGN/GLN 4049928372543;;;COOL CONTROL
90825185;SHALIMAR;;MSC: CAIRO PYRAMID;MOMBASA;FOS;;19/09/2025;MEDU9747767;EU-28666052;MEDU9747767;AVOCADOS;HASS;22;22;;SHALIMAR;ZA;;COLIS 4KG;0.32;4.3;1104.0;276.0;1.0;;;;;15/08/2025;;;;GG/SMETA;GGN/GLN 4049928372543;;;COOL CONTROL
90825186;SHALIMAR;;MSC: CAIRO PYRAMID;MOMBASA;FOS;;19/09/2025;MEDU9747767;EU-28666052;MEDU9747767;AVOCADOS;HASS;18;18;;SHALIMAR;ZA;;COLIS 4KG;0.32;4.3;1104.0;276.0;1.0;;;;;15/08/2025;;;;GG/SMETA;GGN/GLN 4049928372543;;;COOL CONTROL
90825187;SHALIMAR;;MSC: CAIRO PYRAMID;MOMBASA;FOS;;19/09/2025;MEDU9747767;EU-28666052;MEDU9747767;AVOCADOS;HASS;18;18;;SHALIMAR;ZA;;COLIS 4KG;0.32;4.3;1104.0;276.0;1.0;;;;;15/08/2025;;;;GG/SMETA;GGN/GLN 4049928372543;;;COOL CONTROL
90825188;SHALIMAR;;MSC: CAIRO PYRAMID;MOMBASA;FOS;;19/09/2025;MEDU9747767;EU-28666052;MEDU9747767;AVOCADOS;HASS;18;18;;SHALIMAR;ZA;;COLIS 4KG;0.32;4.3;1104.0;276.0;1.0;;;;;15/08/2025;;;;GG/SMETA;GGN/GLN 4049928372543;;;COOL CONTROL
90825189;SHALIMAR;;MSC: CAIRO PYRAMID;MOMBASA;FOS;;19/09/2025;MEDU9747767;EU-28666052;MEDU9747767;AVOCADOS;HASS;18;18;;SHALIMAR;ZA;;COLIS 4KG;0.32;4.3;1104.0;276.0;1.0;;;;;15/08/2025;;;;GG/SMETA;GGN/GLN 4049928372543;;;COOL CONTROL
90825190;SHALIMAR;;MSC: CAIRO PYRAMID;MOMBASA;FOS;;19/09/2025;MEDU9747767;EU-28666052;MEDU9747767;AVOCADOS;HASS;14;14;;SHALIMAR;ZA;;COLIS 4KG;0.32;4.3;1104.0;276.0;1.0;;;;;15/08/2025;;;;GG/SMETA;GGN/GLN 4049928372543;;;COOL CONTROL
90825191;SHALIMAR;;MSC: CAIRO PYRAMID;MOMBASA;FOS;;19/09/2025;MEDU9747767;EU-28666052;MEDU9747767;AVOCADOS;HASS;20;20;;SHALIMAR;ZA;;COLIS 4KG;0.32;4.3;1104.0;276.0;1.0;;;;;15/08/2025;;;;GG/SMETA;GGN/GLN 4049928372543;;;COOL CONTROL
90825192;SHALIMAR;;MSC: CAIRO PYRAMID;MOMBASA;FOS;;19/09/2025;MEDU9747767;EU-28666052;MEDU9747767;AVOCADOS;HASS;20;20;;SHALIMAR;ZA;;COLIS 4KG;0.32;4.3;1104.0;276.0;1.0;;;;;15/08/2025;;;;GG/SMETA;GGN/GLN 4049928372543;;;COOL CONTROL
90825193;SHALIMAR;;MSC: CAIRO PYRAMID;MOMBASA;FOS;;19/09/2025;MEDU9747767;EU-28666052;MEDU9747767;AVOCADOS;HASS;20;20;;SHALIMAR;ZA;;COLIS 4KG;0.32;4.3;1104.0;276.0;1.0;;;;;15/08/2025;;;;GG/SMETA;GGN/GLN 4049928372543;;;COOL CONTROL
90825194;SHALIMAR;;MSC: CAIRO PYRAMID;MOMBASA;FOS;;19/09/2025;MEDU9747767;EU-28666052;MEDU9747767;AVOCADOS;HASS;18;18;;SHALIMAR;ZA;;COLIS 4KG;0.32;4.3;1104.0;276.0;1.0;;;;;15/08/2025;;;;GG/SMETA;GGN/GLN 4049928372543;;;COOL CONTROL
90825195;SHALIMAR;;MSC: CAIRO PYRAMID;MOMBASA;FOS;;19/09/2025;MEDU9747767;EU-28666052;MEDU9747767;AVOCADOS;HASS;14;14;;SHALIMAR;ZA;;COLIS 4KG;0.32;4.3;1104.0;276.0;1.0;;;;;15/08/2025;;;;GG/SMETA;GGN/GLN 4049928372543;;;COOL CONTROL
90825196;SHALIMAR;;MSC: CAIRO PYRAMID;MOMBASA;FOS;;19/09/2025;MEDU9747767;EU-28666052;MEDU9747767;AVOCADOS;HASS;14;14;;SHALIMAR;ZA;;COLIS 4KG;0.32;4.3;1104.0;276.0;1.0;;;;;15/08/2025;;;;GG/SMETA;GGN/GLN 4049928372543;;;COOL CONTROL
90825197;SHALIMAR;;MSC: CAIRO PYRAMID;MOMBASA;FOS;;19/09/2025;MEDU9747767;EU-28666052;MEDU9747767;AVOCADOS;HASS;24;24;;SHALIMAR;ZA;;COLIS 4KG;0.32;4.3;1104.0;276.0;1.0;;;;;15/08/2025;;;;GG/SMETA;GGN/GLN 4049928372543;;;COOL CONTROL
90825198;SHALIMAR;;MSC: CAIRO PYRAMID;MOMBASA;FOS;;19/09/2025;MEDU9747767;EU-28666052;MEDU9747767;AVOCADOS;HASS;24;24;;SHALIMAR;ZA;;COLIS 4KG;0.32;4.3;1104.0;276.0;1.0;;;;;15/08/2025;;;;GG/SMETA;GGN/GLN 4049928372543;;;COOL CONTROL
90825199;SHALIMAR;;MSC: CAIRO PYRAMID;MOMBASA;FOS;;19/09/2025;MEDU9747767;EU-28666052;MEDU9747767;AVOCADOS;HASS;14;14;;SHALIMAR;ZA;;COLIS 4KG;0.32;4.3;1104.0;276.0;1.0;;;;;15/08/2025;;;;GG/SMETA;GGN/GLN 4049928372543;;;COOL CONTROL
90825200;SHALIMAR;;MSC: CAIRO PYRAMID;MOMBASA;FOS;;19/09/2025;MEDU9747767;EU-28666052;MEDU9747767;AVOCADOS;HASS;14;14;;SHALIMAR;ZA;;COLIS 4KG;0.32;4.3;1104.0;276.0;1.0;;;;;15/08/2025;;;;GG/SMETA;GGN/GLN 4049928372543;;;COOL CONTROL
