Pallet no;Exporter Name;Shipping line;Vessel Name;Port of departure;Port of arrival;Packing house departure date;ETA;Exporter Ref;Seal No;Container No;Species;Variety;Size_caliber_count;Nb of fruits per box;Class;Brand;Country of origin;Packaging;Packaging type;Box tare (kg);Net weight per box (kg);Net weight per pallet (kg);Cartons per pallet;Nb of pallets;Lot no;Date of packaging;PACKING HOUSE/PRODUCER;Producer;ETD;Temperature recorder no;Date of harvesting;Plot;Certifications;GGN;COC;Certified GG/COC;Forwarder at destination
170825201;SHALIMAR;;MEARSK: WIKING;MOMBASA;FOS;;24/09/2025;MMAU1421837;ML-KE0085998;MMAU1421837;AVOCADOS;HASS;20;20;;SHALIMAR;ZA;;COLIS 4KG;0.32;4.00;1104.0;276.0;1.0;;;;;21/08/2025;;;;GG/SMETA;GGN/GLN 4049928372543;;;COOL CONTROL
170825202;SHALIMAR;;MEARSK: WIKING;MOMBASA;FOS;;24/09/2025;MMAU1421837;ML-KE0085998;MMAU1421837;AVOCADOS;HASS;18;18;;SHALIMAR;ZA;;COLIS 4KG;0.32;4.00;1104.0;276.0;1.0;;;;;21/08/2025;;;;GG/SMETA;GGN/GLN 4049928372543;;;COOL CONTROL
170825203;SHALIMAR;;MEARSK: WIKING;MOMBASA;FOS;;24/09/2025;MMAU1421837;ML-KE0085998;MMAU1421837;AVOCADOS;HASS;22;22;;SHALIMAR;ZA;;COLIS 4KG;0.32;4.00;1104.0;276.0;1.0;;;;;21/08/2025;;;;GG/SMETA;GGN/GLN 4049928372543;;;COOL CONTROL
170825204;SHALIMAR;;MEARSK: WIKING;MOMBASA;FOS;;24/09/2025;MMAU1421837;ML-KE0085998;MMAU1421837;AVOCADOS;HASS;22;22;;SHALIMAR;ZA;;COLIS 4KG;0.32;4.00;1104.0;276.0;1.0;;;;;21/08/2025;;;;GG/SMETA;GGN/GLN 4049928372543;;;COOL CONTROL
170825205;SHALIMAR;;MEARSK: WIKING;MOMBASA;FOS;;24/09/2025;MMAU1421837;ML-KE0085998;MMAU1421837;AVOCADOS;HASS;22;22;;SHALIMAR;ZA;;COLIS 4KG;0.32;4.00;1104.0;276.0;1.0;;;;;21/08/2025;;;;GG/SMETA;GGN/GLN 4049928372543;;;COOL CONTROL
170825206;SHALIMAR;;MEARSK: WIKING;MOMBASA;FOS;;24/09/2025;MMAU1421837;ML-KE0085998;MMAU1421837;AVOCADOS;HASS;20;20;;SHALIMAR;ZA;;COLIS 4KG;0.32;4.00;1104.0;276.0;1.0;;;;;21/08/2025;;;;GG/SMETA;GGN/GLN 4049928372543;;;COOL CONTROL
170825207;SHALIMAR;;MEARSK: WIKING;MOMBASA;FOS;;24/09/2025;MMAU1421837;ML-KE0085998;MMAU1421837;AVOCADOS;HASS;20;20;;SHALIMAR;ZA;;COLIS 4KG;0.32;4.00;1104.0;276.0;1.0;;;;;21/08/2025;;;;GG/SMETA;GGN/GLN 4049928372543;;;COOL CONTROL
170825208;SHALIMAR;;MEARSK: WIKING;MOMBASA;FOS;;24/09/2025;MMAU1421837;ML-KE0085998;MMAU1421837;AVOCADOS;HASS;24;24;;SHALIMAR;ZA;;COLIS 4KG;0.32;4.00;1104.0;276.0;1.0;;;;;21/08/2025;;;;GG/SMETA;GGN/GLN 4049928372543;;;COOL CONTROL
170825209;SHALIMAR;;MEARSK: WIKING;MOMBASA;FOS;;24/09/2025;MMAU1421837;ML-KE0085998;MMAU1421837;AVOCADOS;HASS;24;24;;SHALIMAR;ZA;;COLIS 4KG;0.32;4.00;1104.0;276.0;1.0;;;;;21/08/2025;;;;GG/SMETA;GGN/GLN 4049928372543;;;COOL CONTROL
170825210;SHALIMAR;;MEARSK: WIKING;MOMBASA;FOS;;24/09/2025;MMAU1421837;ML-KE0085998;MMAU1421837;AVOCADOS;HASS;18;18;;SHALIMAR;ZA;;COLIS 4KG;0.32;4.00;1104.0;276.0;1.0;;;;;21/08/2025;;;;GG/SMETA;GGN/GLN 4049928372543;;;COOL CONTROL
170825211;SHALIMAR;;MEARSK: WIKING;MOMBASA;FOS;;24/09/2025;MMAU1421837;ML-KE0085998;MMAU1421837;AVOCADOS;HASS;18;18;;SHALIMAR;ZA;;COLIS 4KG;0.32;4.00;1104.0;276.0;1.0;;;;;21/08/2025;;;;GG/SMETA;GGN/GLN 4049928372543;;;COOL CONTROL
170825212;SHALIMAR;;MEARSK: WIKING;MOMBASA;FOS;;24/09/2025;MMAU1421837;ML-KE0085998;MMAU1421837;AVOCADOS;HASS;20;20;;SHALIMAR;ZA;;COLIS 4KG;0.32;4.00;1104.0;276.0;1.0;;;;;21/08/2025;;;;GG/SMETA;GGN/GLN 4049928372543;;;COOL CONTROL
170825213;SHALIMAR;;MEARSK: WIKING;MOMBASA;FOS;;24/09/2025;MMAU1421837;ML-KE0085998;MMAU1421837;AVOCADOS;HASS;22;22;;SHALIMAR;ZA;;COLIS 4KG;0.32;4.00;1104.0;276.0;1.0;;;;;21/08/2025;;;;GG/SMETA;GGN/GLN 4049928372543;;;COOL CONTROL
170825214;SHALIMAR;;MEARSK: WIKING;MOMBASA;FOS;;24/09/2025;MMAU1421837;ML-KE0085998;MMAU1421837;AVOCADOS;HASS;18;18;;SHALIMAR;ZA;;COLIS 4KG;0.32;4.00;1104.0;276.0;1.0;;;;;21/08/2025;;;;GG/SMETA;GGN/GLN 4049928372543;;;COOL CONTROL
170825215;SHALIMAR;;MEARSK: WIKING;MOMBASA;FOS;;24/09/2025;MMAU1421837;ML-KE0085998;MMAU1421837;AVOCADOS;HASS;18;18;;SHALIMAR;ZA;;COLIS 4KG;0.32;4.00;1104.0;276.0;1.0;;;;;21/08/2025;;;;GG/SMETA;GGN/GLN 4049928372543;;;COOL CONTROL
170825216;SHALIMAR;;MEARSK: WIKING;MOMBASA;FOS;;24/09/2025;MMAU1421837;ML-KE0085998;MMAU1421837;AVOCADOS;HASS;18;18;;SHALIMAR;ZA;;COLIS 4KG;0.32;4.00;1104.0;276.0;1.0;;;;;21/08/2025;;;;GG/SMETA;GGN/GLN 4049928372543;;;COOL CONTROL
170825217;SHALIMAR;;MEARSK: WIKING;MOMBASA;FOS;;24/09/2025;MMAU1421837;ML-KE0085998;MMAU1421837;AVOCADOS;HASS;20;20;;SHALIMAR;ZA;;COLIS 4KG;0.32;4.00;1104.0;276.0;1.0;;;;;21/08/2025;;;;GG/SMETA;GGN/GLN 4049928372543;;;COOL CONTROL
170825218;SHALIMAR;;MEARSK: WIKING;MOMBASA;FOS;;24/09/2025;MMAU1421837;ML-KE0085998;MMAU1421837;AVOCADOS;HASS;12;12;;SHALIMAR;ZA;;COLIS 4KG;0.32;4.00;1104.0;276.0;1.0;;;;;21/08/2025;;;;GG/SMETA;GGN/GLN 4049928372543;;;COOL CONTROL
170825219;SHALIMAR;;MEARSK: WIKING;MOMBASA;FOS;;24/09/2025;MMAU1421837;ML-KE0085998;MMAU1421837;AVOCADOS;HASS;14;14;;SHALIMAR;ZA;;COLIS 4KG;0.32;4.00;1104.0;276.0;1.0;;;;;21/08/2025;;;;GG/SMETA;GGN/GLN 4049928372543;;;COOL CONTROL
170825220;SHALIMAR;;MEARSK: WIKING;MOMBASA;FOS;;24/09/2025;MMAU1421837;ML-KE0085998;MMAU1421837;AVOCADOS;HASS;14;14;;SHALIMAR;ZA;;COLIS 4KG;0.32;4.00;1104.0;276.0;1.0;;;;;21/08/2025;;;;GG/SMETA;GGN/GLN 4049928372543;;;COOL CONTROL
