Pallet no;Exporter Name;Shipping line;Vessel Name;Port of departure;Port of arrival;Packing house departure date;ETA;Exporter Ref;Seal No;Container No;Species;Variety;Size_caliber_count;Nb of fruits per box;Class;Brand;Country of origin;Packaging;Packaging type;Box tare (kg);Net weight per box (kg);Net weight per pallet (kg);Cartons per pallet;Nb of pallets;Lot no;Date of packaging;PACKING HOUSE/PRODUCER;Producer;ETD;Temperature recorder no;Date of harvesting;Plot;Certifications;GGN;COC;Certified GG/COC;Forwarder at destination
01-051850;VIRU S.A.;CMA CGM;ISTANBUL EXPRES;Puerto Callao;MARSELLA;;21/08/2025;20057864;;CGMU6916014;AVOCADO; HASS; 16;16; 1;FRESH AVOCADO HASS CAL 16 CASE 1994 4 KG;ZA;;BJ 4KG;0.32;4;1056.0;264.0;1.0;;27/08/2024;;;;;26/08/2024;;GG/SMETA;'4049929032590;;;VDH
02-051862;VIRU S.A.;CMA CGM;ISTANBUL EXPRES;Puerto Callao;MARSELLA;;21/08/2025;20057864;;CGMU6916014;AVOCADO; HASS; 16;16; 1;FRESH AVOCADO HASS CAL 16 CASE 1994 4 KG;ZA;;BJ 4KG;0.32;4;1056.0;264.0;1.0;;27/08/2024;;;;;26/08/2024;;GG/SMETA;'4049929032590;;;VDH
03-051863;VIRU S.A.;CMA CGM;ISTANBUL EXPRES;Puerto Callao;MARSELLA;;21/08/2025;20057864;;CGMU6916014;AVOCADO; HASS; 16;16; 1;FRESH AVOCADO HASS CAL 16 CASE 1994 4 KG;ZA;;BJ 4KG;0.32;4;1056.0;264.0;1.0;;27/08/2024;;;;;26/08/2024;;GG/SMETA;'4049929032590;;;VDH
04-051859;VIRU S.A.;CMA CGM;ISTANBUL EXPRES;Puerto Callao;MARSELLA;;21/08/2025;20057864;;CGMU6916014;AVOCADO; HASS; 16;16; 1;FRESH AVOCADO HASS CAL 16 CASE 1994 4 KG;ZA;;BJ 4KG;0.32;4;1056.0;264.0;1.0;;27/08/2024;;;;;26/08/2024;;GG/SMETA;'4049929032590;;;VDH
05-051860;VIRU S.A.;CMA CGM;ISTANBUL EXPRES;Puerto Callao;MARSELLA;;21/08/2025;20057864;;CGMU6916014;AVOCADO; HASS; 16;16; 1;FRESH AVOCADO HASS CAL 16 CASE 1994 4 KG;ZA;;BJ 4KG;0.32;4;1056.0;264.0;1.0;;27/08/2024;;;;;26/08/2024;;GG/SMETA;'4049929032590;;;VDH
06-051861;VIRU S.A.;CMA CGM;ISTANBUL EXPRES;Puerto Callao;MARSELLA;;21/08/2025;20057864;;CGMU6916014;AVOCADO; HASS; 16;16; 1;FRESH AVOCADO HASS CAL 16 CASE 1994 4 KG;ZA;;BJ 4KG;0.32;4;1056.0;264.0;1.0;;27/08/2024;;;;;26/08/2024;;GG/SMETA;'4049929032590;;;VDH
07-051867;VIRU S.A.;CMA CGM;ISTANBUL EXPRES;Puerto Callao;MARSELLA;;21/08/2025;20057864;;CGMU6916014;AVOCADO; HASS; 16;16; 1;FRESH AVOCADO HASS CAL 16 CASE 1994 4 KG;ZA;;BJ 4KG;0.32;4;1056.0;264.0;1.0;;27/08/2024;;;;;26/08/2024;;GG/SMETA;'4049929032590;;;VDH
08-051892;VIRU S.A.;CMA CGM;ISTANBUL EXPRES;Puerto Callao;MARSELLA;;21/08/2025;20057864;;CGMU6916014;AVOCADO; HASS; 16;16; 1;FRESH AVOCADO HASS CAL 16 CASE 1994 4 KG;ZA;;BJ 4KG;0.32;4;1056.0;264.0;1.0;;27/08/2024;;;;;26/08/2024;;GG/SMETA;'4049929032590;;;VDH
09-051890;VIRU S.A.;CMA CGM;ISTANBUL EXPRES;Puerto Callao;MARSELLA;;21/08/2025;20057864;;CGMU6916014;AVOCADO; HASS; 16;16; 1;FRESH AVOCADO HASS CAL 16 CASE 1994 4 KG;ZA;;BJ 4KG;0.32;4;1056.0;264.0;1.0;;27/08/2024;;;;7421573;26/08/2024;;GG/SMETA;'4049929032590;;;VDH
10-051915;VIRU S.A.;CMA CGM;ISTANBUL EXPRES;Puerto Callao;MARSELLA;;21/08/2025;20057864;;CGMU6916014;AVOCADO; HASS; 16;16; 1;FRESH AVOCADO HASS CAL 16 CASE 1994 4 KG;ZA;;BJ 4KG;0.32;4;1056.0;264.0;1.0;;27/08/2024;;;;;26/08/2024;;GG/SMETA;'4049929032590;;;VDH
